2.144.0.0,2.147.255.255,262144,22/10/10,Iran Cell Service and Communication Company
2.176.0.0,2.191.255.255,1048576,18/10/10,Information Technology Company (ITC)
5.1.43.0,5.1.43.255,256,26/07/26,Sefroyek Pardaz Engineering PJSC
5.22.0.0,5.22.127.255,32768,03/05/12,Mobile Communication Company of Iran PLC
5.23.112.0,5.23.119.255,2048,26/07/26,Khalij Fars Ettela Resan LTD
5.34.192.0,5.34.207.255,4096,11/05/12,Fanap - Passargad Arian Information & communication Tehchnology
5.52.0.0,5.52.255.255,65536,25/05/12,Mobile Communication Company of Iran PLC
5.53.32.0,5.53.63.255,8192,29/05/12,Iran Telecommunication Company PJS
5.62.160.0,5.62.191.255,8192,11/06/12,Iran Telecommunication Company PJS
5.62.192.0,5.62.255.255,16384,11/06/12,"Rightel Communication Service Company PJS"
5.72.0.0,5.72.255.255,65536,11/06/12,"Rightel Communication Service Company PJS"
5.73.0.0,5.73.255.255,65536,11/06/12,"Rightel Communication Service Company PJS"
5.74.0.0,5.74.255.255,65536,11/06/12,Iran Telecommunication Company PJS
5.75.0.0,5.75.127.255,32768,11/06/12,Iran Telecommunication Company PJS
5.104.208.0,5.104.215.255,2048,26/07/26,Iran Telecommunication Company PJS
5.106.0.0,5.106.255.255,65536,28/06/12,Mobile Communication Company of Iran PLC
5.112.0.0,5.127.255.255,1048576,29/06/12,Iran Cell Service and Communication Company
5.134.128.0,5.134.191.255,16384,10/07/12,"Rightel Communication Service Company PJS"
5.134.192.0,5.134.199.255,2048,26/07/26,Asiatech Data Transmission company
5.159.49.0,5.159.49.255,256,26/07/26,Vandad Vira Hooman LLC
5.160.0.0,5.160.255.255,65536,25/07/12,Respina Networks & Beyond PJSC
5.190.0.0,5.190.255.255,65536,13/08/12,Iran Telecommunication Company PJS
5.198.160.0,5.198.191.255,8192,27/08/12,Iran Telecommunication Company PJS
5.200.64.0,5.200.95.255,8192,30/08/12,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS
5.200.96.0,5.200.127.255,8192,30/08/12,"Rightel Communication Service Company PJS"
5.200.128.0,5.200.255.255,32768,29/08/12,Iran Telecommunication Company PJS
5.201.128.0,5.201.191.255,16384,29/08/12,Mobin Net Communication Company (Private Joint Stock)
5.201.192.0,5.201.255.255,16384,29/08/12,Mobile Communication Company of Iran PLC
5.202.0.0,5.202.255.255,65536,29/08/12,Pishgaman Toseeh Ertebatat Company (Private Joint Stock)
5.208.0.0,5.209.255.255,131072,04/09/12,Mobile Communication Company of Iran PLC
5.210.0.0,5.210.255.255,65536,04/09/12,Mobile Communication Company of Iran PLC
5.211.0.0,5.211.255.255,65536,04/09/12,Mobile Communication Company of Iran PLC
5.212.0.0,5.213.255.255,131072,04/09/12,Mobile Communication Company of Iran PLC
5.214.0.0,5.215.255.255,131072,04/09/12,Mobile Communication Company of Iran PLC
5.216.0.0,5.217.255.255,131072,04/09/12,Mobile Communication Company of Iran PLC
5.218.0.0,5.218.255.255,65536,04/09/12,Mobile Communication Company of Iran PLC
5.219.0.0,5.219.63.255,16384,04/09/12,Iran Telecommunication Company PJS
5.219.64.0,5.219.127.255,16384,04/09/12,Iran Telecommunication Company PJS
5.219.128.0,5.219.191.255,16384,04/09/12,Iran Telecommunication Company PJS
5.219.192.0,5.219.255.255,16384,04/09/12,Iran Telecommunication Company PJS
5.220.0.0,5.223.255.255,262144,04/09/12,GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joint Stock)
5.232.0.0,5.239.255.255,524288,07/09/12,Iran Telecommunication Company PJS
5.250.0.0,5.250.127.255,32768,13/09/12,Mobile Communication Company of Iran PLC
5.253.27.0,5.253.27.255,256,26/07/26,AbrArvan CDN and IaaS
31.2.128.0,31.2.255.255,32768,05/04/11,Mobile Communication Company of Iran PLC
31.7.64.0,31.7.79.255,4096,11/04/11,Asiatech Data Transmission company
31.7.96.0,31.7.127.255,8192,11/04/11,Iran Telecommunication Company PJS
31.7.128.0,31.7.143.255,4096,13/04/11,Aryan Satellite Co. (Private Joint Stock)
31.14.80.0,31.14.95.255,4096,18/04/11,Iran Telecommunication Company PJS
31.14.112.0,31.14.127.255,4096,18/04/11,Afranet
31.14.144.0,31.14.159.255,4096,18/04/11,Iran Telecommunication Company PJS
31.24.200.0,31.24.207.255,2048,26/07/26,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS
31.25.92.0,31.25.95.255,1024,26/07/26,Cooperative Afra ertebatat-e-sabet-e Rasa Co
31.25.104.0,31.25.111.255,2048,26/07/26,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS
31.25.128.0,31.25.135.255,2048,26/07/26,Asiatech Data Transmission company
31.47.32.0,31.47.63.255,8192,21/03/11,Afranet
31.56.0.0,31.59.255.255,262144,28/01/11,Aria Shatel Company Ltd
31.130.176.0,31.130.191.255,4096,05/05/11,
31.170.48.0,31.170.63.255,4096,30/03/11,Farahoosh Dena PLC
31.184.128.0,31.184.191.255,16384,01/03/11,GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joint Stock)
31.214.146.0,31.214.147.255,512,26/07/26,Parsan Lin Co. PJS
31.214.168.0,31.214.175.255,2048,26/07/26,Parsan Lin Co. PJS
31.214.228.0,31.214.231.255,1024,26/07/26,Parsan Lin Co. PJS
31.214.248.0,31.214.251.255,1024,26/07/26,Parsan Lin Co. PJS
31.214.255.0,31.214.255.255,256,26/07/26,Parsan Lin Co. PJS
31.216.62.0,31.216.62.255,256,26/07/26,Asiatech Data Transmission company
31.217.208.0,31.217.215.255,2048,26/07/26,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS
37.10.64.0,37.10.65.255,512,26/07/26,Parsan Lin Co. PJS
37.10.66.0,37.10.67.255,512,26/07/26,Parsan Lin Co. PJS
37.10.109.0,37.10.109.255,256,26/07/26,Parsan Lin Co. PJS
37.19.80.0,37.19.95.255,4096,22/12/11,Farabord Dadeh Haye Iranian Co.
37.32.0.0,37.32.31.255,8192,02/01/12,Noyan Abr Arvan Co. ( Private Joint Stock)
